iter	Logloss
0	0.6895274008
1	0.6858721581
2	0.6832461511
3	0.6795230445
4	0.6756749246
5	0.6722303166
6	0.6684979643
7	0.6650924504
8	0.6614243658
9	0.6588792917
10	0.6559139331
11	0.6525958244
12	0.649335297
13	0.6460079927
14	0.6433314883
15	0.6396913172
16	0.6363459397
17	0.6333193328
18	0.6303629929
19	0.6280612496
20	0.6248589317
21	0.6224741882
22	0.6192233845
23	0.6160894257
24	0.6133975452
25	0.6114333621
26	0.6092526083
27	0.6060303026
28	0.603375791
29	0.6008377698
30	0.5994028828
31	0.5974832018
32	0.5951346397
33	0.592221
34	0.5893078006
35	0.5870511591
36	0.5848582465
37	0.5822636749
38	0.5807113764
39	0.5782534615
40	0.5755330919
41	0.5728855575
42	0.5704529579
43	0.5691079295
44	0.5674956658
45	0.5653055385
46	0.5640707989
47	0.5622741374
48	0.5604546062
49	0.5585736305
50	0.5565082279
51	0.5547910148
52	0.5525351391
53	0.5520115538
54	0.5503278125
55	0.5490017598
56	0.5472179202
57	0.5448100366
58	0.5428914939
59	0.5406603539
60	0.5385342752
61	0.5368797116
62	0.5355129178
63	0.5337734979
64	0.5320335359
65	0.5300222587
66	0.5281660108
67	0.5264762641
68	0.5248014253
69	0.5234675358
70	0.5223079923
71	0.5199443203
72	0.5186663208
73	0.5171425934
74	0.5152062955
75	0.5139117413
76	0.5120353713
77	0.51073656
78	0.5096641329
79	0.5083853058
80	0.5066553454
81	0.5052088423
82	0.5041986686
83	0.5034894872
84	0.5025641041
85	0.5011317544
86	0.500162172
87	0.4989546496
88	0.4973486541
89	0.4964637212
90	0.4954350649
91	0.4940436093
92	0.4929871671
93	0.4918441553
94	0.4908280414
95	0.4899294872
96	0.4886491904
97	0.4875125882
98	0.486497639
99	0.4855689716
100	0.4847144832
101	0.4840819055
102	0.4830769185
103	0.4819880512
104	0.4811465182
105	0.4800425136
106	0.478971674
107	0.47794501
108	0.4769416911
109	0.4756409728
110	0.4748753605
111	0.4738410914
112	0.47316013
113	0.4727718581
114	0.4721817902
115	0.4706072872
116	0.4696513621
117	0.4686407229
118	0.4682169361
119	0.4674251336
120	0.4669431467
121	0.4660677626
122	0.4652453564
123	0.4644695546
124	0.463783134
125	0.4626411418
126	0.461672326
127	0.4610078741
128	0.4601372945
129	0.4590482061
130	0.4581829087
131	0.4571540361
132	0.4568271994
133	0.4560972153
134	0.455605574
135	0.4551776587
136	0.4542918281
137	0.4536227335
138	0.4529522289
139	0.4519473179
140	0.4512501025
141	0.4507183964
142	0.4497695666
143	0.4487432727
144	0.4482027288
145	0.4477054866
146	0.4471887935
147	0.4463461835
148	0.4453623253
149	0.4448138231
150	0.4441863846
151	0.4433743652
152	0.4427562895
153	0.4421002016
154	0.4411816802
155	0.44029766
156	0.4395523329
157	0.4388075318
158	0.4382023121
159	0.437639162
160	0.4367148791
161	0.4359522344
162	0.4352773487
163	0.4350360884
164	0.4344866578
165	0.4338587585
166	0.4333608606
167	0.432560073
168	0.4320557849
169	0.4314223693
170	0.430852649
171	0.4302735713
172	0.4295151021
173	0.4289156013
174	0.428286295
175	0.4276508132
176	0.4270992804
177	0.4264516859
178	0.4256116695
179	0.4250443609
180	0.424211613
181	0.4235890358
182	0.422821741
183	0.4221766111
184	0.4213201427
185	0.4210280979
186	0.4206248556
187	0.4202614148
188	0.419502157
189	0.4188550678
190	0.4187278399
191	0.4182385015
192	0.4178328173
193	0.4173347932
194	0.4169456946
195	0.4164471579
196	0.4158327963
197	0.4152007359
198	0.4144833539
199	0.4138462537
200	0.4133512978
201	0.4124918369
202	0.4121527714
203	0.4115897397
204	0.4109249072
205	0.4102627853
206	0.4094043188
207	0.4088278281
208	0.4083289752
209	0.4076084039
210	0.4068995756
211	0.4064616203
212	0.4061437404
213	0.4059232499
214	0.4054200093
215	0.4051288322
216	0.4046462764
217	0.4042742852
218	0.4041012916
219	0.4036665526
220	0.4033669072
221	0.4031135804
222	0.4023623046
223	0.4017829294
224	0.4016634079
225	0.4010505285
226	0.4006998386
227	0.4002588064
228	0.3998576029
229	0.3994739677
230	0.3991310844
231	0.3987600293
232	0.3984836941
233	0.3980998426
234	0.3976066869
235	0.3971448114
236	0.3967064124
237	0.3964782678
238	0.3960578197
239	0.3957438442
240	0.3953046243
241	0.3948235811
242	0.3948040746
243	0.3943060668
244	0.3936709877
245	0.3931211736
246	0.392315615
247	0.3922410031
248	0.3918121256
249	0.3914771462
250	0.3912240067
251	0.3907516661
252	0.3903201482
253	0.3902741661
254	0.3900580079
255	0.3895821084
256	0.3891264596
257	0.3888648044
258	0.3886630796
259	0.388661108
260	0.388451339
261	0.3881908109
262	0.387584394
263	0.3873939339
264	0.387023619
265	0.3867294
266	0.3863144049
267	0.3860013497
268	0.3855438961
269	0.3852821937
270	0.3850979133
271	0.3848223718
272	0.3843255488
273	0.3837138262
274	0.3831414048
275	0.3823348773
276	0.3822749276
277	0.3820477587
278	0.3818649037
279	0.3815954277
280	0.3814231552
281	0.3809616051
282	0.3805232317
283	0.3802181147
284	0.38009394
285	0.3793372114
286	0.3792005551
287	0.3788018435
288	0.3786953569
289	0.378302807
290	0.3779391796
291	0.3776974899
292	0.3774978055
293	0.3771136704
294	0.3769175553
295	0.3766924636
296	0.3760658082
297	0.3755535239
298	0.3752106383
299	0.3748165877
300	0.3743834527
301	0.374022547
302	0.3735616539
303	0.3730890561
304	0.3726669364
305	0.3722256731
306	0.371848696
307	0.3718074825
308	0.3714220839
309	0.3711404779
310	0.3707578284
311	0.3705085508
312	0.370382419
313	0.3700292419
314	0.3694401102
315	0.3690932652
316	0.3687679731
317	0.3686389004
318	0.3682971182
319	0.367954758
320	0.3674235522
321	0.3671183778
322	0.3667714448
323	0.3665652971
324	0.3663293112
325	0.3660833689
326	0.3656651507
327	0.3654561015
328	0.3651247513
329	0.3650976336
330	0.3648780657
331	0.3646690012
332	0.364474509
333	0.364134364
334	0.3639397407
335	0.3635552421
336	0.3632022731
337	0.3630013674
338	0.3625942073
339	0.3623508248
340	0.3622095327
341	0.3618396528
342	0.3614631894
343	0.3612439625
344	0.3608892247
345	0.3607294813
346	0.3604290234
347	0.36017056
348	0.3599285428
349	0.3596446763
350	0.359302572
351	0.3589030655
352	0.3586958566
353	0.3584384604
354	0.3582383025
355	0.3579376062
356	0.3575745971
357	0.3572509655
358	0.3572423438
359	0.3570628275
360	0.3568663122
361	0.3565522699
362	0.3562693229
363	0.3559748475
364	0.3556732508
365	0.3554660619
366	0.3550572102
367	0.3547808344
368	0.3545514005
369	0.3543116301
370	0.3540384352
371	0.3539136116
372	0.3537642677
373	0.3537549793
374	0.3534399298
375	0.3533664931
376	0.3531122981
377	0.3528739256
378	0.3526368109
379	0.3523746567
380	0.352041647
381	0.3517821384
382	0.3514028231
383	0.3510921967
384	0.3507252335
385	0.3503079991
386	0.3497642296
387	0.3495797327
388	0.3492341821
389	0.3489987254
390	0.3486560271
391	0.3484359315
392	0.3481749454
393	0.3480187644
394	0.3477903425
395	0.3475978259
396	0.347308917
397	0.3473049807
398	0.3472208154
399	0.3467360779
400	0.3466878029
401	0.3466683721
402	0.3464728206
403	0.3462514596
404	0.3459883238
405	0.3457872066
406	0.345556742
407	0.3453327622
408	0.3451587145
409	0.3449544829
410	0.3446201922
411	0.3442244454
412	0.3438240923
413	0.3436377678
414	0.3433748142
415	0.3432420583
416	0.3429358934
417	0.3427093776
418	0.3421253953
419	0.3417584474
420	0.3414960668
421	0.34122046
422	0.3409586688
423	0.3408266446
424	0.3404089567
425	0.3402925461
426	0.3399708418
427	0.3394178513
428	0.3391624847
429	0.3388269536
430	0.3386370259
431	0.3383241711
432	0.338076086
433	0.3375782538
434	0.3372847503
435	0.3370869334
436	0.336858796
437	0.3363889397
438	0.3361556321
439	0.3359217082
440	0.3357560701
441	0.3354945083
442	0.3352928855
443	0.3351498647
444	0.3348415105
445	0.3347789792
446	0.3347108594
447	0.3342687587
448	0.3338770652
449	0.3335361716
450	0.3334279914
451	0.3332383401
452	0.333047834
453	0.3329828011
454	0.3329008851
455	0.3327344385
456	0.332456402
457	0.3322091254
458	0.3321076262
459	0.3320323077
460	0.3318134193
461	0.3314610296
462	0.3310407333
463	0.3308290656
464	0.330563746
465	0.3304746891
466	0.3301276871
467	0.3298946304
468	0.329709942
469	0.3293287391
470	0.3289995633
471	0.3288816527
472	0.3287936347
473	0.3286497029
474	0.3284056439
475	0.328181214
476	0.3278863763
477	0.3277652366
478	0.3276129865
479	0.3273524408
480	0.3270971452
481	0.3267758114
482	0.3265330721
483	0.3261472269
484	0.3258993658
485	0.325689128
486	0.3255091965
487	0.3252469061
488	0.3250447304
489	0.3249456112
490	0.3245664635
491	0.3244633266
492	0.3243436486
493	0.3241631876
494	0.3239471616
495	0.32384429
496	0.3236536838
497	0.3233811586
498	0.3231445356
499	0.3228809367
500	0.3227775393
501	0.3226496015
502	0.3223515331
503	0.3221610582
504	0.3221143805
505	0.3219725239
506	0.3218217507
507	0.3214849238
508	0.3213103193
509	0.3211086016
510	0.320967482
511	0.320762215
512	0.3207337026
513	0.3204659129
514	0.3201462243
515	0.3201271121
516	0.3200297678
517	0.3198725737
518	0.3197530975
519	0.3194490925
520	0.3194240314
521	0.3191118075
522	0.3189423337
523	0.3187515751
524	0.3186774731
525	0.3185190374
526	0.3184380223
527	0.3183070017
528	0.3181983425
529	0.3180604732
530	0.3179618565
531	0.3177375276
532	0.3176213451
533	0.317340245
534	0.3172119639
535	0.3169213283
536	0.316753015
537	0.3166529613
538	0.3164742851
539	0.3161619356
540	0.3161542085
541	0.3161412009
542	0.3159040429
543	0.3155268282
544	0.3152344467
545	0.315096669
546	0.3150927705
547	0.3147867479
548	0.3146945659
549	0.3144381705
550	0.3141888502
551	0.3140075637
552	0.3138765061
553	0.3135188394
554	0.3133780806
555	0.3132993412
556	0.3128912888
557	0.3127595288
558	0.3125888764
559	0.3124342756
560	0.3121173106
561	0.3117298325
562	0.3113961893
563	0.3112943204
564	0.3109890531
565	0.3107120919
566	0.3101169261
567	0.3099528433
568	0.3097980424
569	0.3096248822
570	0.3094639818
571	0.3093702489
572	0.3090378377
573	0.3088924754
574	0.3086628993
575	0.308312818
576	0.3083126024
577	0.308127389
578	0.3079457991
579	0.3079068443
580	0.3076812425
581	0.3075816134
582	0.3073980146
583	0.3073583724
584	0.3072362976
585	0.3072360026
586	0.3070037951
587	0.3069150926
588	0.3067570974
589	0.3065726945
590	0.3063671577
591	0.3061484258
592	0.3059931483
593	0.3057813883
594	0.3055109044
595	0.3054212237
596	0.3053275152
597	0.3052389766
598	0.3051361696
599	0.3050136224
600	0.3047851634
601	0.3046250632
602	0.3043076829
603	0.3041693347
604	0.3040674349
605	0.303991897
606	0.3038425329
607	0.3037681122
608	0.3036572595
609	0.30359183
610	0.3034101789
611	0.3033480397
612	0.3031975552
613	0.3029293502
614	0.3027140208
615	0.3025501172
616	0.3024030265
617	0.3022568242
618	0.302024362
619	0.301712543
620	0.3015457537
621	0.3013783051
622	0.3012574425
623	0.3011190286
624	0.3011003835
625	0.3008938383
626	0.3006731989
627	0.3005373402
628	0.3001326943
629	0.2999869316
630	0.2997683104
631	0.2996250452
632	0.2993983945
633	0.2991253165
634	0.2989517656
635	0.2988199828
636	0.2986695762
637	0.2985651495
638	0.2982278102
639	0.2980829314
640	0.2977314792
641	0.2976256994
642	0.2975885793
643	0.297348064
644	0.2973414555
645	0.2970792852
646	0.2969576234
647	0.2968924375
648	0.2968066722
649	0.2967928692
650	0.2964841926
651	0.2962169753
652	0.2959837582
653	0.295800668
654	0.2956361203
655	0.2954479095
656	0.2951640373
657	0.2951197506
658	0.2950434192
659	0.2949474664
660	0.294828942
661	0.294729178
662	0.2944898323
663	0.2942294392
664	0.2940902571
665	0.2940098332
666	0.293735093
667	0.2936496385
668	0.2934646527
669	0.293309378
670	0.2932084441
671	0.2930527733
672	0.292775867
673	0.2925274521
674	0.292515455
675	0.2920173424
676	0.2919228171
677	0.291829595
678	0.2917483163
679	0.2914260876
680	0.2912346568
681	0.2910160057
682	0.2908874072
683	0.2907342517
684	0.290317155
685	0.2901704716
686	0.2900657526
687	0.2899583021
688	0.2898335054
689	0.2896681338
690	0.289640669
691	0.2895302073
692	0.289267055
693	0.2890213532
694	0.2887127938
695	0.2886119381
696	0.2881718042
697	0.2878441865
698	0.2878441189
699	0.2874634319
700	0.2872695737
701	0.2869790637
702	0.286746999
703	0.2866129239
704	0.2865461614
705	0.2863403026
706	0.2859464615
707	0.2857738577
708	0.2855491685
709	0.2853598806
710	0.2852720592
711	0.2851142977
712	0.2849766968
713	0.2848113817
714	0.2847504333
715	0.2846564464
716	0.2843996027
717	0.2842505426
718	0.284139497
719	0.283860543
720	0.2836819864
721	0.2835710594
722	0.2833028139
723	0.282989342
724	0.2828439454
725	0.2826950549
726	0.2825676491
727	0.2822052727
728	0.2819999534
729	0.2818889474
730	0.2816578659
731	0.281434718
732	0.2811292284
733	0.2809802809
734	0.2808795546
735	0.2807175181
736	0.280405325
737	0.2802982173
738	0.2801091336
739	0.2798871394
740	0.2796987999
741	0.2795967688
742	0.2793718421
743	0.2788665869
744	0.2783253947
745	0.2781294985
746	0.2779673252
747	0.2778293901
748	0.277737342
749	0.2775028215
750	0.2772291792
751	0.2771235461
752	0.2768709477
753	0.276855041
754	0.27682985
755	0.2767182035
756	0.2766389621
757	0.2765033132
758	0.2763395485
759	0.2762319637
760	0.2761231095
761	0.2759710655
762	0.2757889171
763	0.275645508
764	0.275542058
765	0.2754379402
766	0.2753474522
767	0.2752825797
768	0.275200434
769	0.2749906807
770	0.2748838529
771	0.2746716393
772	0.2745244336
773	0.2743865255
774	0.2742088997
775	0.2740210157
776	0.2738726639
777	0.273751668
778	0.273572808
779	0.2734563122
780	0.2731889995
781	0.2730014353
782	0.2728440004
783	0.2727880015
784	0.2726891186
785	0.2725011752
786	0.2723115575
787	0.2722150569
788	0.2721578795
789	0.2721578164
790	0.2720166262
791	0.2716805152
792	0.2715593796
793	0.2713892707
794	0.2712737998
795	0.2710745861
796	0.2709098683
797	0.2707088
798	0.2705927676
799	0.2701621198
800	0.2701054
801	0.2699905101
802	0.2698528254
803	0.269470816
804	0.2694357193
805	0.2693868782
806	0.2692206815
807	0.2690924323
808	0.2689688496
809	0.268880243
810	0.2687554459
811	0.2687429166
812	0.2685544442
813	0.2684425689
814	0.2683225279
815	0.2681932538
816	0.2679956574
817	0.2678530547
818	0.2677294586
819	0.2675676027
820	0.2673709688
821	0.2670451635
822	0.2667949707
823	0.2665553461
824	0.2662439958
825	0.2661442989
826	0.2659264255
827	0.2657065455
828	0.2654637351
829	0.2652934953
830	0.2650078539
831	0.2649464683
832	0.2647586872
833	0.2645497663
834	0.264263502
835	0.2641339898
836	0.2636966213
837	0.2634649571
838	0.2631826133
839	0.2630713264
840	0.2629596136
841	0.2627801506
842	0.2627128932
843	0.2626119674
844	0.2622390008
845	0.2620559967
846	0.2617628472
847	0.261617981
848	0.261472413
849	0.2612186671
850	0.2610566293
851	0.2609160786
852	0.2608389544
853	0.2606494467
854	0.2605370404
855	0.2601648882
856	0.2599241105
857	0.2597845009
858	0.2596882682
859	0.2593287905
860	0.2591625018
861	0.2588623346
862	0.258766312
863	0.2586629361
864	0.2584912665
865	0.2582599285
866	0.2580168035
867	0.2578608231
868	0.2575963009
869	0.2575120947
870	0.2573660907
871	0.2570924696
872	0.2569217214
873	0.2567627567
874	0.2566406714
875	0.2564213563
876	0.2563237138
877	0.2562289776
878	0.2561046917
879	0.2557220002
880	0.255562656
881	0.2554296557
882	0.2552734372
883	0.2551348463
884	0.2550583805
885	0.2548654987
886	0.2547162541
887	0.254556395
888	0.2542059114
